text,sentiment
The file was uploaded successfully #806,Neutral
The file was uploaded successfully #828,Neutral
The movie was boring #591,Negative
This is the worst purchase ever #819,Negative
Everything failed my expectations #740,Negative
Customer support was helpful #495,Positive
This product is terrible #872,Negative
I am very happy with the purchase #814,Positive
The package contains accessories #861,Neutral
I would never recommend this #466,Negative
The movie was boring #487,Negative
The class begins at nine #183,Neutral
I really enjoyed the service #680,Positive
The meeting was scheduled #350,Neutral
I disliked the performance #494,Negative
The product arrived yesterday #746,Neutral
The food tasted delicious #50,Positive
Customer support was helpful #479,Positive
This is the worst purchase ever #683,Negative
The quality is excellent #156,Positive
I am unhappy with the purchase #537,Negative
Everything exceeded my expectations #941,Positive
The design looks outdated #24,Negative
The experience was wonderful #242,Positive
The food tasted awful #319,Negative
Customer support was helpful #684,Positive
Everything failed my expectations #961,Negative
The movie was boring #827,Negative
Everything failed my expectations #641,Negative
This product is amazing #116,Positive
This is the best purchase ever #507,Positive
I really enjoyed the service #618,Positive
Everything exceeded my expectations #823,Positive
I loved the performance #390,Positive
The message was delivered #323,Neutral
This is the best purchase ever #996,Positive
Customer support was helpful #301,Positive
I really enjoyed the service #435,Positive
I disliked the performance #383,Negative
The food tasted awful #757,Negative
Customer support was rude #823,Negative
The message was delivered #982,Neutral
I am unhappy with the purchase #61,Negative
I really enjoyed the service #465,Positive
Customer support was rude #647,Negative
The app crashes often #862,Negative
Customer support was helpful #560,Positive
I am unhappy with the purchase #501,Negative
Delivery was delayed badly #925,Negative
The account was created #399,Neutral
The movie was fantastic #859,Positive
The item is available online #217,Neutral
The train arrived on time #869,Neutral
I disliked the performance #350,Negative
The experience was wonderful #451,Positive
The quality is excellent #210,Positive
This is the worst purchase ever #766,Negative
I disliked the performance #726,Negative
This product is terrible #105,Negative
The movie was boring #603,Negative
I am unhappy with the purchase #685,Negative
I would highly recommend this #780,Positive
I loved the performance #339,Positive
The food tasted awful #394,Negative
This product is terrible #662,Negative
The movie was fantastic #42,Positive
I really enjoyed the service #85,Positive
The package contains accessories #879,Neutral
I would highly recommend this #439,Positive
Customer support was rude #19,Negative
The package contains accessories #251,Neutral
The design looks beautiful #694,Positive
The order number was updated #398,Neutral
I would highly recommend this #222,Positive
I used the app today #382,Neutral
This product is amazing #315,Positive
This product is amazing #863,Positive
Delivery was delayed badly #733,Negative
The product arrived yesterday #56,Neutral
Delivery was fast and smooth #489,Positive
The design looks outdated #165,Negative
The app works perfectly #471,Positive
This product is terrible #773,Negative
The account was created #5,Neutral
The message was delivered #826,Neutral
The event starts tomorrow #229,Neutral
The message was delivered #480,Neutral
The quality is very poor #939,Negative
I disliked the performance #879,Negative
The design looks beautiful #202,Positive
The package contains accessories #341,Neutral
The app crashes often #99,Negative
Delivery was fast and smooth #884,Positive
The class begins at nine #690,Neutral
The quality is excellent #976,Positive
I used the app today #11,Neutral
Everything failed my expectations #340,Negative
Delivery was delayed badly #252,Negative
I hated the service #997,Negative
The message was delivered #514,Neutral
The account was created #897,Neutral
The payment was processed #136,Neutral
The food tasted awful #659,Negative
The order number was updated #896,Neutral
This product is terrible #146,Negative
The design looks beautiful #311,Positive
The class begins at nine #933,Neutral
This is the best purchase ever #494,Positive
The movie was boring #839,Negative
Delivery was fast and smooth #880,Positive
The app works perfectly #596,Positive
The food tasted delicious #946,Positive
The movie was boring #478,Negative
The food tasted delicious #719,Positive
The quality is very poor #998,Negative
The order number was updated #893,Neutral
The app works perfectly #344,Positive
The system is running normally #376,Neutral
The meeting was scheduled #824,Neutral
This product is amazing #771,Positive
I hated the service #292,Negative
The train arrived on time #771,Neutral
This product is terrible #884,Negative
This is the worst purchase ever #398,Negative
The meeting was scheduled #313,Neutral
Delivery was fast and smooth #446,Positive
The food tasted delicious #910,Positive
This is the worst purchase ever #560,Negative
The app crashes often #745,Negative
I loved the performance #801,Positive
Everything exceeded my expectations #104,Positive
The order number was updated #478,Neutral
Everything exceeded my expectations #524,Positive
The movie was boring #846,Negative
This is the best purchase ever #28,Positive
The class begins at nine #738,Neutral
The food tasted awful #204,Negative
Customer support was rude #654,Negative
I would highly recommend this #706,Positive
I would never recommend this #526,Negative
Customer support was helpful #815,Positive
I loved the performance #783,Positive
The order number was updated #432,Neutral
The experience was wonderful #325,Positive
Delivery was delayed badly #376,Negative
I really enjoyed the service #664,Positive
The system is running normally #677,Neutral
This is the best purchase ever #360,Positive
The event starts tomorrow #190,Neutral
The meeting was scheduled #809,Neutral
Customer support was helpful #739,Positive
The quality is excellent #900,Positive
I disliked the performance #912,Negative
The food tasted delicious #21,Positive
Customer support was helpful #995,Positive
Delivery was fast and smooth #99,Positive
This is the best purchase ever #285,Positive
I would never recommend this #250,Negative
The quality is excellent #321,Positive
The train arrived on time #195,Neutral
The design looks beautiful #73,Positive
The food tasted awful #274,Negative
I loved the performance #899,Positive
I really enjoyed the service #626,Positive
I would highly recommend this #37,Positive
I would never recommend this #181,Negative
The event starts tomorrow #271,Neutral
The train arrived on time #356,Neutral
The food tasted delicious #605,Positive
The package contains accessories #407,Neutral
The message was delivered #115,Neutral
The package contains accessories #664,Neutral
I would never recommend this #85,Negative
Customer support was rude #104,Negative
I hated the service #212,Negative
Delivery was delayed badly #249,Negative
I hated the service #345,Negative
The experience was disappointing #732,Negative
The class begins at nine #110,Neutral
I am unhappy with the purchase #224,Negative
I disliked the performance #462,Negative
The package contains accessories #83,Neutral
I am very happy with the purchase #473,Positive
The design looks outdated #397,Negative
The message was delivered #224,Neutral
The system is running normally #420,Neutral
The movie was boring #233,Negative
I hated the service #434,Negative
The account was created #263,Neutral
The experience was wonderful #567,Positive
The meeting was scheduled #220,Neutral
I hated the service #246,Negative
Everything failed my expectations #148,Negative
The order number was updated #535,Neutral
Delivery was fast and smooth #882,Positive
This is the worst purchase ever #789,Negative
The experience was disappointing #699,Negative
The experience was wonderful #167,Positive
I would never recommend this #169,Negative
I loved the performance #911,Positive
Delivery was fast and smooth #130,Positive
The experience was wonderful #320,Positive
The event starts tomorrow #242,Neutral
The product arrived yesterday #774,Neutral
I am unhappy with the purchase #917,Negative
This is the best purchase ever #253,Positive
The train arrived on time #490,Neutral
The movie was fantastic #86,Positive
The movie was boring #28,Negative
The design looks outdated #623,Negative
The class begins at nine #811,Neutral
I would never recommend this #910,Negative
The app works perfectly #873,Positive
The payment was processed #732,Neutral
This is the worst purchase ever #567,Negative
The report was submitted #684,Neutral
I am unhappy with the purchase #431,Negative
The food tasted awful #836,Negative
I hated the service #625,Negative
Customer support was rude #811,Negative
Customer support was helpful #370,Positive
I would never recommend this #891,Negative
The experience was wonderful #62,Positive
The app works perfectly #115,Positive
I hated the service #761,Negative
This product is terrible #11,Negative
The order number was updated #179,Neutral
The package contains accessories #917,Neutral
The file was uploaded successfully #333,Neutral
I disliked the performance #109,Negative
The experience was disappointing #481,Negative
The message was delivered #174,Neutral
The food tasted awful #767,Negative
The movie was fantastic #651,Positive
The order number was updated #384,Neutral
I would never recommend this #651,Negative
The quality is very poor #737,Negative
The system is running normally #802,Neutral
I hated the service #381,Negative
This product is terrible #614,Negative
The quality is excellent #748,Positive
This product is terrible #126,Negative
This product is terrible #429,Negative
The message was delivered #377,Neutral
I used the app today #984,Neutral
The app works perfectly #248,Positive
The quality is excellent #745,Positive
I would never recommend this #576,Negative
I really enjoyed the service #599,Positive
The meeting was scheduled #406,Neutral
The app crashes often #899,Negative
I would never recommend this #158,Negative
I really enjoyed the service #542,Positive
This product is amazing #765,Positive
The movie was boring #102,Negative
The movie was fantastic #68,Positive
This product is amazing #909,Positive
The system is running normally #695,Neutral
This is the best purchase ever #918,Positive
This product is terrible #611,Negative
I would highly recommend this #39,Positive
The order number was updated #508,Neutral
The file was uploaded successfully #843,Neutral
The app crashes often #907,Negative
The item is available online #777,Neutral
I loved the performance #416,Positive
This is the best purchase ever #805,Positive
This product is amazing #573,Positive
The train arrived on time #707,Neutral
The report was submitted #360,Neutral
Everything exceeded my expectations #999,Positive
The app works perfectly #395,Positive
The order number was updated #803,Neutral
The class begins at nine #543,Neutral
This is the worst purchase ever #721,Negative
Delivery was fast and smooth #462,Positive
The event starts tomorrow #121,Neutral
I would highly recommend this #778,Positive
The payment was processed #939,Neutral
The product arrived yesterday #430,Neutral
The food tasted delicious #112,Positive
The design looks beautiful #8,Positive
The order number was updated #878,Neutral
The food tasted delicious #192,Positive
The quality is very poor #919,Negative
The item is available online #854,Neutral
The movie was fantastic #418,Positive
The meeting was scheduled #798,Neutral
I disliked the performance #247,Negative
The report was submitted #372,Neutral
The design looks beautiful #887,Positive
The train arrived on time #185,Neutral
The quality is excellent #10,Positive
This product is terrible #555,Negative
This is the worst purchase ever #194,Negative
I would highly recommend this #262,Positive
I used the app today #961,Neutral
The movie was fantastic #367,Positive
The meeting was scheduled #6,Neutral
The quality is very poor #205,Negative
Delivery was fast and smooth #389,Positive
The event starts tomorrow #288,Neutral
The movie was boring #444,Negative
Customer support was helpful #328,Positive
I disliked the performance #119,Negative
The movie was boring #301,Negative
The design looks outdated #626,Negative
This product is terrible #411,Negative
The event starts tomorrow #284,Neutral
I would highly recommend this #373,Positive
Customer support was helpful #219,Positive
Delivery was delayed badly #424,Negative
Delivery was fast and smooth #544,Positive
The system is running normally #915,Neutral
The meeting was scheduled #885,Neutral
The app crashes often #875,Negative
The order number was updated #534,Neutral
The order number was updated #525,Neutral
The experience was wonderful #534,Positive
This is the best purchase ever #264,Positive
The design looks beautiful #707,Positive
The app works perfectly #847,Positive
Delivery was delayed badly #485,Negative
I would highly recommend this #384,Positive
The movie was fantastic #215,Positive
The payment was processed #547,Neutral
The quality is very poor #161,Negative
The order number was updated #926,Neutral
This product is terrible #513,Negative
The account was created #747,Neutral
The app crashes often #23,Negative
The event starts tomorrow #588,Neutral
This is the best purchase ever #374,Positive
This is the worst purchase ever #813,Negative
The meeting was scheduled #954,Neutral
This is the worst purchase ever #361,Negative
The message was delivered #715,Neutral
The quality is very poor #331,Negative
This is the best purchase ever #830,Positive
The system is running normally #840,Neutral
The system is running normally #355,Neutral
Everything failed my expectations #914,Negative
The meeting was scheduled #705,Neutral
The app crashes often #373,Negative
I would highly recommend this #614,Positive
The app works perfectly #216,Positive
The design looks beautiful #802,Positive
The class begins at nine #847,Neutral
The food tasted delicious #668,Positive
I hated the service #232,Negative
I am very happy with the purchase #769,Positive
I am unhappy with the purchase #571,Negative
Everything exceeded my expectations #193,Positive
The movie was fantastic #211,Positive
The meeting was scheduled #253,Neutral
The product arrived yesterday #166,Neutral
This product is amazing #722,Positive
The message was delivered #66,Neutral
This product is terrible #449,Negative
This product is amazing #947,Positive
The quality is very poor #388,Negative
This product is terrible #176,Negative
This is the best purchase ever #18,Positive
I really enjoyed the service #809,Positive
The experience was disappointing #627,Negative
I used the app today #616,Neutral
The report was submitted #974,Neutral
I loved the performance #609,Positive
I hated the service #47,Negative
The report was submitted #149,Neutral
This is the best purchase ever #169,Positive
The train arrived on time #324,Neutral
The system is running normally #591,Neutral
I hated the service #781,Negative
This is the best purchase ever #455,Positive
Delivery was fast and smooth #375,Positive
Customer support was helpful #875,Positive
I hated the service #351,Negative
The product arrived yesterday #434,Neutral
The package contains accessories #837,Neutral
Customer support was rude #228,Negative
I loved the performance #23,Positive
The food tasted delicious #233,Positive
The event starts tomorrow #976,Neutral
The experience was wonderful #448,Positive
The order number was updated #36,Neutral
The class begins at nine #211,Neutral
The payment was processed #327,Neutral
The app crashes often #314,Negative
I hated the service #477,Negative
The train arrived on time #518,Neutral
The report was submitted #114,Neutral
The quality is excellent #52,Positive
The meeting was scheduled #608,Neutral
Everything exceeded my expectations #341,Positive
I really enjoyed the service #163,Positive
I would never recommend this #564,Negative
I really enjoyed the service #672,Positive
The experience was wonderful #185,Positive
The item is available online #426,Neutral
The food tasted delicious #623,Positive
I would highly recommend this #490,Positive
The experience was wonderful #87,Positive
I really enjoyed the service #541,Positive
Delivery was delayed badly #589,Negative
The file was uploaded successfully #853,Neutral
This product is terrible #878,Negative
The meeting was scheduled #874,Neutral
The meeting was scheduled #448,Neutral
The food tasted delicious #3,Positive
The product arrived yesterday #745,Neutral
I am very happy with the purchase #487,Positive
The event starts tomorrow #60,Neutral
The class begins at nine #230,Neutral
I would highly recommend this #294,Positive
I disliked the performance #932,Negative
Delivery was delayed badly #60,Negative
The experience was disappointing #356,Negative
The report was submitted #898,Neutral
The event starts tomorrow #622,Neutral
The account was created #365,Neutral
I would never recommend this #519,Negative
I hated the service #853,Negative
The quality is very poor #117,Negative
The system is running normally #342,Neutral
The design looks outdated #681,Negative
The meeting was scheduled #891,Neutral
The design looks outdated #103,Negative
The app works perfectly #953,Positive
The food tasted awful #972,Negative
The quality is excellent #240,Positive
The food tasted delicious #484,Positive
Delivery was fast and smooth #461,Positive
The event starts tomorrow #990,Neutral
Delivery was delayed badly #84,Negative
I loved the performance #631,Positive
The product arrived yesterday #943,Neutral
The app crashes often #268,Negative
Customer support was rude #330,Negative
This product is terrible #401,Negative
This product is amazing #84,Positive
The package contains accessories #292,Neutral
The meeting was scheduled #985,Neutral
This product is amazing #652,Positive
The food tasted delicious #380,Positive
The meeting was scheduled #813,Neutral
I hated the service #218,Negative
The report was submitted #467,Neutral
This product is terrible #318,Negative
The app works perfectly #790,Positive
