text,sentiment
Very satisfied with the results at home,positive
The package contains all items in my opinion,neutral
The phone has standard features for my project,neutral
The weather is normal today for daily use,neutral
I regret buying this for long term use,negative
Very satisfied with the results for my project,positive
The food tasted awful at home,negative
The app crashes frequently in my opinion,negative
This service is amazing during the weekend,positive
This service is terrible recently,negative
The response time was moderate overall,neutral
I hate this product for students,negative
I used the application in my opinion,neutral
Fantastic support during the weekend,positive
Excellent quality at home,positive
Excellent quality for work,positive
The weather is normal today for my project,neutral
The phone has standard features during the weekend,neutral
It is an average experience for students,neutral
The package contains all items for work,neutral
The event starts tomorrow for long term use,neutral
Highly recommended recently,positive
The product arrived today for my project,neutral
Very poor quality at home,negative
This service is terrible for students,negative
The phone has standard features for daily use,neutral
The phone has standard features for work,neutral
I used the application for long term use,neutral
The phone has standard features for long term use,neutral
The app crashes frequently during the weekend,negative
This service is terrible for work,negative
I regret buying this for work,negative
The phone has standard features for work,neutral
Very satisfied with the results for my project,positive
Worst experience ever overall,negative
It is an average experience recently,neutral
Completely disappointed for work,negative
I used the application for my project,neutral
Fantastic support recently,positive
Terrible customer support overall,negative
The product arrived today in my opinion,neutral
The experience was wonderful during the weekend,positive
Very satisfied with the results overall,positive
The phone has standard features recently,neutral
Very poor quality during the weekend,negative
The experience was wonderful during the weekend,positive
Fantastic support for long term use,positive
Terrible customer support recently,negative
Terrible customer support overall,negative
This service is amazing for daily use,positive
I love this product recently,positive
I used the application for my project,neutral
The meeting was held online overall,neutral
The phone has standard features during the weekend,neutral
The app crashes frequently at home,negative
Excellent quality overall,positive
Very poor quality overall,negative
The weather is normal today for daily use,neutral
Best purchase ever recently,positive
I used the application in my opinion,neutral
Excellent quality for long term use,positive
Best purchase ever for students,positive
Excellent quality for daily use,positive
The weather is normal today for work,neutral
Highly recommended recently,positive
The event starts tomorrow recently,neutral
I hate this product recently,negative
I am extremely happy for daily use,positive
The food tasted great for long term use,positive
This service is amazing during the weekend,positive
This service is terrible during the weekend,negative
The weather is normal today in my opinion,neutral
This service is amazing at home,positive
The service was okay recently,neutral
This service is terrible recently,negative
Completely disappointed overall,negative
Highly recommended in my opinion,positive
The package contains all items for my project,neutral
The event starts tomorrow recently,neutral
Best purchase ever for students,positive
I hate this product for students,negative
Best purchase ever during the weekend,positive
Highly recommended overall,positive
Worst experience ever for work,negative
I am extremely happy for long term use,positive
The food tasted great for long term use,positive
This service is terrible at home,negative
Fantastic support at home,positive
I am extremely happy recently,positive
I used the application for work,neutral
Completely disappointed during the weekend,negative
The weather is normal today for my project,neutral
Worst experience ever recently,negative
Fantastic support for my project,positive
This service is terrible for work,negative
I love this product for students,positive
The meeting was held online for my project,neutral
